1963,1st,Lev Yashin,Dynamo Moscow,Russia,,,,,,,,,,,,,,,,,,,
1963,2nd,Gianni Rivera,Milan,Italia,champions,,,,,,,,,,,,,,,,,,
1963,3rd,Jimmy Greaves,Tottenham Hotspur,Inghilterra,,,,,,,,,,,,,,,,,,,
1964,1st,Denis Law,Manchester United,Scozia,,,,,,,,,,,,,,,,,,,
1964,2nd,Luis Suárez Miramontes,Internazionale,Spagna,champions,,,,,,,Europeo,,,,,,,,,,,
1964,3rd,Amancio,Real Madrid,Spagna,,laLiga,,,,,,Europeo,,,,,,,,,,,
1965,1st,Eusébio,Benfica,Portogallo,,,,primeraLiga,,,,,,,,,,,,,,,
1965,2nd,Giacinto Facchetti,Internazionale,Italia,champions,,serieA,,,,,,,,,,,,,,,,
1965,3rd,Luis Suárez Miramontes,Internazionale,Spagna,champions,,serieA,,,,,,,,,,,,,,,,
1966,1st,Bobby Charlton,Manchester United,Inghilterra,,,,,Mondiale,,,,,,,,,,,,,,
1966,2nd,Eusébio,Benfica,Portogallo,,,,,,,,,,,,,,,,,,,
1966,3rd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1967,1st,Flórián Albert,Ferencvárosi TC,Ungheria,,,,,,,,,,,,,,,,,,,
1967,2nd,Bobby Charlton,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1967,3rd,Jimmy Johnstone,Celtic,Scozia,champions,,,,,,,,,,,,,,,,scottishPremiership,coppaScozia,
1968,1st,George Best,Manchester United,Irlanda del Nord,,,,,,,,,,,,,,,,,,,
1968,2nd,Bobby Charlton,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1968,3rd,Dragan Džajić,Red Star Belgrade,Serbia,,,,,,,,,,,,,,,,,,,
1969,1st,Gianni Rivera,Milan,Italia,champions,,,,,,,,,,,,,,,,,,
1969,2nd,Luigi Riva,Cagliari,Italia,,,,,,,,,,,,,,,,,,,
1969,3rd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1970,1st,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1970,2nd,Bobby Moore,West Ham United,Inghilterra,,,,,,,,,,,,,,,,,,,
1970,3rd,Luigi Riva,Cagliari,Italia,,,serieA,,,,,,,,,,,,,,,,
1971,1st,Johan Cruyff,Ajax,Olanda,champions,,,,,coppaOlanda,,,,,,,,,,,,,
1971,2nd,Sandro Mazzola,Internazionale,Italia,,,serieA,,,,,,,,,,,,,,,,
1971,3rd,George Best,Manchester United,Irlanda del Nord,,,,,,,,,,,,,,,,,,,
1972,1st,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1972,2nd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1972,3rd,Günter Netzer,Borussia Mönchengladbach,Germania,,,,,,,,,,,,,,,,,,,
1973,1st,Johan Cruyff,Barcellona,Olanda,,,,,,,,,,,,,,,,,,,
1973,2nd,Dino Zoff,Juventus,Italia,,,serieA,,,,,,,,,,,,,,,,
1973,3rd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1974,1st,Johan Cruyff,Barcellona,Olanda,,laLiga,,,,,,,,,,,,,,,,,
1974,2nd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1974,3rd,Kazimierz Deyna,Legia Warsaw,Polonia,,,,,,,,,,,,,,,,,,,
1975,1st,Oleg Blokhin,Dynamo Kyiv,Ucraina,,,,,,,,,,,,,,,,,,,
1975,2nd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1975,3rd,Johan Cruyff,Barcellona,Olanda,,,,,,,,,,,,,,,,,,,
1976,1st,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1976,2nd,Rob Rensenbrink,Anderlecht,Olanda,,,,,,,,,,,,,,,,coppaBelgio,,,
1976,3rd,Ivo Viktor,Dukla Prague,Repubblica Ceca,,,,,,,,,,,,,,,,,,,
1977,1st,Allan Simonsen,Borussia Mönchengladbach,Danimarca,,,,,,,,,,,,,,,,,,,
1977,2nd,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1977,3rd,Michel Platini,FC Nancy,Francia,,,,,,,,,,,,,,,,,,,
1978,1st,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1978,2nd,Hans Krankl,Barcellona,Austria,,,,,,,,,,,,,coppaSpagna,,,,,,
1978,3rd,Rob Rensenbrink,Anderlecht,Olanda,,,,,,,,,,,,,,,,,,,
1979,1st,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1979,3rd,Ruud Krol,Ajax,Olanda,,,,,,coppaOlanda,,,,,,,,,,,,,
1980,1st,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1980,2nd,Bernd Schuster,Barcellona,Germania,,,,,,,,,,,,,,,,,,,
1980,3rd,Michel Platini,AS Saint-Étienne,Francia,,,,,,,,,,,,,,,,,,,
1981,1st,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1981,2nd,Paul Breitner,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1981,3rd,Bernd Schuster,Barcellona,Germania,,,,,,,,,,,,,coppaSpagna,,,,,,
1982,1st,Paolo Rossi,Juventus,Italia,,,serieA,,Mondiale,,,,,,,,,,,,,,
1982,2nd,Alain Giresse,Girondins de Bordeaux,Francia,,,,,,,,,,,,,,,,,,,
1982,3rd,Zbigniew Boniek,Juventus,Polonia,,,serieA,,,,,,,,,,,,,,,,
1983,1st,Michel Platini,Juventus,Francia,,,,,,,coppaItalia,,,,,,,,,,,,
1983,2nd,Kenny Dalglish,Liverpool,Scozia,,,,,,,,,,,,,,,premierLeague,,,,
1983,3rd,Allan Simonsen,Vejle Boldklub,Danimarca,,,,,,,,,,,,,,,,,,,
1984,1st,Michel Platini,Juventus,Francia,,,serieA,,,,,Europeo,,,,,,,,,,,
1984,2nd,Jean Tigana,Girondins de Bordeaux,Francia,,,,,,,,Europeo,,,,,,,,,,,
1984,3rd,Preben Elkjær,Hellas Verona,Danimarca,,,,,,,,,,,,,,,,,,,
1985,1st,Michel Platini,Juventus,Francia,champions,,,,,,,,,,,,,,,,,,
1985,2nd,Preben Elkjær,Hellas Verona,Danimarca,,,,,,,,,,,,,,,,,,,
1985,3rd,Bernd Schuster,Barcellona,Germania,,laLiga,,,,,,,,,,,,,,,,,
1986,1st,Igor Belanov,Dynamo Kyiv,Ucraina,,,,,,,,,,,,,,,,,,,
1986,2nd,Gary Lineker,Barcellona,Inghilterra,,,,,,,,,,,,,,,,,,,
1986,3rd,Emilio Butragueño,Real Madrid,Spagna,,laLiga,,,,,,,europaLeague,,,,,,,,,,
1987,1st,Ruud Gullit,Milan,Olanda,,,,,,,,,,,,,,,,,,,
1987,2nd,Paulo Futre,Atlético Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
1987,3rd,Emilio Butragueño,Real Madrid,Spagna,,laLiga,,,,,,,,,,,,,,,,,
1988,1st,Marco van Basten,Milan,Olanda,,,serieA,,,,,,,,,,,,,,,,
1988,2nd,Ruud Gullit,Milan,Olanda,,,serieA,,,,,,,,,,,,,,,,
1988,3rd,Frank Rijkaard,Milan,Olanda,,,serieA,,,,,,,,,,,,,,,,
1989,1st,Marco van Basten,Milan,Olanda,champions,,,,,,,,,,,,,,,,,,
1989,2nd,Franco Baresi,Milan,Italia,champions,,,,,,,,,,,,,,,,,,
1989,3rd,Frank Rijkaard,Milan,Olanda,champions,,,,,,,,,,,,,,,,,,
1990,1st,Lothar Matthäus,Internazionale,Germania,,,,,,,,,,,,,,,,,,,
1990,2nd,Salvatore Schillaci,Juventus,Italia,,,,,,,coppaItalia,,europaLeague,,,,,,,,,,
1990,3rd,Andreas Brehme,Internazionale,Germania,,,,,,,,,,,,,,,,,,,
1991,1st,Jean-Pierre Papin,Olympique de Marseille,Francia,,,,,,,,,,,,,,,,,,,
1991,2nd,Dejan Savićević,Red Star Belgrade,Montenegro,,,,,,,,,,,,,,,,,,,
1991,3rd,Darko Pančev,Red Star Belgrade,Macedonia del Nord,,,,,,,,,,,,,,,,,,,
1992,1st,Marco van Basten,Milan,Olanda,,,serieA,,,,,,,,,,,,,,,,
1992,2nd,Hristo Stoichkov,Barcellona,Bulgaria,champions,laLiga,,,,,,,,,,,,,,,,,
1992,3rd,Dennis Bergkamp,Ajax,Olanda,,,,,,,,,europaLeague,,,,,,,,,,
1993,1st,Roberto Baggio,Juventus,Italia,,,,,,,,,europaLeague,,,,,,,,,,
1993,2nd,Dennis Bergkamp,Internazionale,Olanda,,,,,,,,,,,,,,,,,,,
1993,3rd,Eric Cantona,Manchester United,Francia,,,,,,,,,,,,,,,,,,,
1994,1st,Hristo Stoichkov,Barcellona,Bulgaria,,laLiga,,,,,,,,,,,,,,,,,
1994,2nd,Roberto Baggio,Juventus,Italia,,,,,,,,,,,,,,,,,,,
1994,3rd,Paolo Maldini,Milan,Italia,champions,,serieA,,,,,,,,,,,,,,,,
1995,1st,George Weah,Milan,Liberia,,,,,,,,,,,,,,,,,,,
1995,2nd,Jürgen Klinsmann,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1995,3rd,Jari Litmanen,Ajax,Finlandia,champions,,,,,,,,,,,,,,,,,,
1996,1st,Matthias Sammer,Borussia Dortmund,Germania,,,,,,,,Europeo,,bundesliga,,,,,,,,,
1996,2nd,Ronaldo,Barcellona,Portogallo,,,,,,,,,,,,,,,,,,,
1996,3rd,Alan Shearer,Newcastle United,Inghilterra,,,,,,,,,,,,,,,,,,,
1997,1st,Ronaldo,Internazionale,Portogallo,,,,,,,,,,,,,,,,,,,
1997,2nd,Predrag Mijatović,Real Madrid,Montenegro,,laLiga,,,,,,,,,,,,,,,,,
1997,3rd,Zinedine Zidane,Juventus,Francia,,,serieA,,,,,,,,,,,,,,,,
1998,1st,Zinedine Zidane,Juventus,Francia,,,serieA,,Mondiale,,,,,,,,,,,,,,
1998,2nd,Davor Šuker,Real Madrid,Croazia,champions,,,,,,,,,,,,,,,,,,
1998,3rd,Ronaldo,Internazionale,Portogallo,,,,,,,,,europaLeague,,,,,,,,,,
1999,1st,Rivaldo,Barcellona,Brasile,,laLiga,,,,,,,,,CoppaAmerica,,,,,,,,
1999,2nd,David Beckham,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1999,3rd,Andriy Shevchenko,Milan,Ucraina,,,serieA,,,,,,,,,,,,,,,,
2000,1st,Luís Figo,Real Madrid,Portogallo,champions,,,,,,,,,,,,,,,,,,
2000,2nd,Zinedine Zidane,Juventus,Francia,,,,,,,,Europeo,,,,,,,,,,,
2000,3rd,Andriy Shevchenko,Milan,Ucraina,,,,,,,,,,,,,,,,,,,
2001,1st,Michael Owen,Liverpool,Inghilterra,,,,,,,,,europaLeague,,,coppaInghilterra,,,,,,,
2001,2nd,Raúl,Real Madrid,Spagna,,laLiga,,,,,,,,,,,,,,,,,
2001,3rd,Oliver Kahn,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
2002,1st,Ronaldo,Real Madrid,Portogallo,champions,,,,,,,,,,,,,,,,,,
2002,2nd,Roberto Carlos,Real Madrid,Brasile,champions,,,,Mondiale,,,,,,,,,,,,,,
2002,3rd,Oliver Kahn,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
2003,1st,Pavel Nedvěd,Juventus,Repubblica Ceca,,,serieA,,,,,,,,,,,,,,,,
2003,2nd,Thierry Henry,Arsenal,Francia,,,,,,,,,,,,coppaInghilterra,,,,,,,
2003,3rd,Paolo Maldini,Milan,Italia,champions,,,,,,coppaItalia,,,,,,,,,,,,
2004,1st,Andriy Shevchenko,Milan,Ucraina,,,serieA,,,,,,,,,,,,,,,,
2004,2nd,Deco,Barcellona,Portogallo,,,,,,,,,,,,,,,,,,,
2004,3rd,Ronaldinho,Barcellona,Brasile,,,,,,,,,,,CoppaAmerica,,,,,,,,
2005,1st,Ronaldinho,Barcellona,Brasile,,laLiga,,,,,,,,,,,,,,,,,
2005,2nd,Frank Lampard,Chelsea,Inghilterra,,,,,,,,,,,,,,,premierLeague,,,,
2005,3rd,Steven Gerrard,Liverpool,Inghilterra,champions,,,,,,,,,,,,,,,,,,
2006,1st,Fabio Cannavaro,Real Madrid,Italia,,,,,Mondiale,,,,,,,,,,,,,,
2006,2nd,Gianluigi Buffon,Juventus,Italia,,,,,Mondiale,,,,,,,,,,,,,,
2006,3rd,Thierry Henry,Arsenal,Francia,,,,,,,,,,,,,,,,,,,
2007,1st,Kaká,Milan,Brasile,champions,,,,,,,,,,CoppaAmerica,,,,,,,,
2007,2nd,Cristiano Ronaldo,Manchester United,Portogallo,,,,,,,,,,,,,,,,,,,
2007,3rd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2008,1st,Cristiano Ronaldo,Manchester United,Portogallo,,,,,,,,,,,,,,,,,,,
2008,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2008,3rd,Fernando Torres,Liverpool,Spagna,,,,,,,,Europeo,,,,,,,,,,,
2009,1st,Lionel Messi,Barcellona,Argentina,champions,laLiga,,,,,,,,,,,coppaSpagna,,,,,,
2009,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2009,3rd,Xavi,Barcellona,Spagna,champions,laLiga,,,,,,,,,,,coppaSpagna,,,,,,
2010,1st,Lionel Messi,Barcellona,Argentina,,laLiga,,,,,,,,,,,,,,,,,
2010,2nd,Andrés Iniesta,Barcellona,Spagna,,laLiga,,,Mondiale,,,,,,,,,,,,,,
2010,3rd,Xavi,Barcellona,Spagna,,laLiga,,,Mondiale,,,,,,,,,,,,,,
2011,1st,Lionel Messi,Barcellona,Argentina,champions,laLiga,,,,,,,,,,,,,,,,,
2011,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,coppaSpagna,,,,,,
2011,3rd,Xavi,Barcellona,Spagna,champions,laLiga,,,,,,,,,,,,,,,,,
2012,1st,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,coppaSpagna,,,,,,
2012,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,laLiga,,,,,,,,,,,,,,,,,
2012,3rd,Andrés Iniesta,Barcellona,Spagna,,,,,,,,Europeo,,,,,coppaSpagna,,,,,,
2013,1st,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2013,2nd,Lionel Messi,Barcellona,Argentina,,laLiga,,,,,,,,,,,,,,,,,
2013,3rd,Franck Ribéry,Bayern Munich,Francia,,,,,,,,,,,,,,,,,,,
2014,1st,Cristiano Ronaldo,Real Madrid,Portogallo,champions,,,,,,,,,,,,coppaSpagna,,,,,,
2014,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2014,3rd,Manuel Neuer,Bayern Munich,Germania,,,,,Mondiale,,,,,,,,,,,,,,
2015,1st,Lionel Messi,Barcellona,Argentina,champions,laLiga,,,,,,,,,,,coppaSpagna,,,,,,
2015,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2015,3rd,Neymar,Barcellona,Brasile,champions,laLiga,,,,,,,,,,,coppaSpagna,,,,,,
2016,1st,Cristiano Ronaldo,Real Madrid,Portogallo,champions,,,,,,,Europeo,,,,,,,,,,,
2016,2nd,Lionel Messi,Barcellona,Argentina,,laLiga,,,,,,,,,,,coppaSpagna,,,,,,
2016,3rd,Antoine Griezmann,Atlético Madrid,Francia,,,,,,,,,,,,,,,,,,,
2017,1st,Cristiano Ronaldo,Real Madrid,Portogallo,champions,laLiga,,,,,,,,,,,,,,,,,
2017,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,coppaSpagna,,,,,,
2017,3rd,Neymar,Paris Saint-Germain,Brasile,,,,,,,,,,,,,,,,,,,coppaFrancia
2018,1st,Luka Modrić,Real Madrid,Croazia,champions,,,,,,,,,,,,,,,,,,
2018,2nd,Cristiano Ronaldo,Juventus,Portogallo,,,serieA,,,,coppaItalia,,,,,,,,,,,,
2018,3rd,Antoine Griezmann,Atlético Madrid,Francia,,,,,Mondiale,,,,europaLeague,,,,,,,,,,
2019,1st,Lionel Messi,Barcellona,Argentina,,laLiga,,,,,,,,,,,,,,,,,
2019,2nd,Virgil van Dijk,Liverpool,Olanda,champions,,,,,,,,,,,,,,,,,,
2019,3rd,Cristiano Ronaldo,Juventus,Portogallo,,,serieA,,,,,,,,,,,,,,,,
2021,1st,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,CoppaAmerica,,coppaSpagna,,,,,,
2021,2nd,Robert Lewandowski,Bayern Munich,Polonia,,,,,,,,,,,,,,,,,,,
2021,3rd,Jorginho,Chelsea,Italia,champions,,,,,,,,,,,,,,,,,,
2022,1st,Karim Benzema,Real Madrid,Francia,champions,laLiga,,,,,,,,,,,,,,,,,
2022,2nd,Sadio Mané,Liverpool,Senegal,,,,,,,,,,,,coppaInghilterra,,,,,,,
2022,3rd,Kevin De Bruyne,Manchester City,Belgio,,,,,,,,,,,,,,,premierLeague,,,,
2023,1st,Lionel Messi,Paris Saint-Germain,Argentina,,,,,,,,,,,,,,legue1,,,,,
2023,2nd,Erling Haaland,Manchester City,Norvegia,champions,,,,,,,,,,,coppaInghilterra,,,premierLeague,,,,
2023,3rd,Kylian Mbappé,Paris Saint-Germain,Francia,,,,,,,,,,,,,,legue1,,,,,
2024,1st,Rodri,Manchester City,Spagna,,,,,,,,Europeo,,,,,,,premierLeague,,,,
2024,2nd,Vinícius Júnior,Real Madrid,Brasile,champions,laLiga,,,,,,,,,,,,,,,,,
2024,3rd,Jude Bellingham,Real Madrid,Inghilterra,champions,laLiga,,,,,,,,,,,,,,,,,
