year,rank,player,team,nazionality,champions,laLiga,serieA,primeraLiga,Mondiale,coppaOlanda,coppaItalia,Europeo,europaLeague,bundesliga,CoppaAmerica,coppaInghilterra,coppaSpagna,legue1,premierLeague,coppaBelgio,scottishPremiership,coppaScozia,coppaFrancia
1972,1st,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1972,2nd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1972,3rd,Günter Netzer,Borussia Mönchengladbach,Germania,,,,,,,,,,,,,,,,,,,
1973,1st,Johan Cruyff,Barcellona,Olanda,,,,,,,,,,,,,,,,,,,
1973,2nd,Dino Zoff,Juventus,Italia,,,Juventus,,,,,,,,,,,,,,,,
1973,3rd,Gerd Müller,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1974,1st,Johan Cruyff,Barcellona,Olanda,,Barcellona,,,,,,,,,,,,,,,,,
1974,2nd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1974,3rd,Kazimierz Deyna,Legia Warsaw,Polonia,,,,,,,,,,,,,,,,,,,
1975,1st,Oleg Blokhin,Dynamo Kyiv,Ucraina,,,,,,,,,,,,,,,,,,,
1975,2nd,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1975,3rd,Johan Cruyff,Barcellona,Olanda,,,,,,,,,,,,,,,,,,,
1976,1st,Franz Beckenbauer,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1976,2nd,Rob Rensenbrink,Anderlecht,Olanda,,,,,,,,,,,,,,,,Anderlecht,,,
1976,3rd,Ivo Viktor,Dukla Prague,Repubblica Ceca,,,,,,,,,,,,,,,,,,,
1977,1st,Allan Simonsen,Borussia Mönchengladbach,Danimarca,,,,,,,,,,,,,,,,,,,
1977,2nd,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1977,3rd,Michel Platini,FC Nancy,Francia,,,,,,,,,,,,,,,,,,,
1978,1st,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1978,2nd,Hans Krankl,Barcellona,Austria,,,,,,,,,,,,,Barcellona,,,,,,
1978,3rd,Rob Rensenbrink,Anderlecht,Olanda,,,,,,,,,,,,,,,,,,,
1979,1st,Kevin Keegan,Hamburg,Inghilterra,,,,,,,,,,,,,,,,,,,
1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1979,3rd,Ruud Krol,Ajax,Olanda,,,,,,Ajax,,,,,,,,,,,,,
1980,1st,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1980,2nd,Bernd Schuster,Barcellona,Germania,,,,,,,,,,,,,,,,,,,
1980,3rd,Michel Platini,AS Saint-Étienne,Francia,,,,,,,,,,,,,,,,,,,
1981,1st,Karl-Heinz Rummenigge,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1981,2nd,Paul Breitner,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1981,3rd,Bernd Schuster,Barcellona,Germania,,,,,,,,,,,,,Barcellona,,,,,,
1982,1st,Paolo Rossi,Juventus,Italia,,,Juventus,,Italia,,,,,,,,,,,,,,
1982,2nd,Alain Giresse,Girondins de Bordeaux,Francia,,,,,,,,,,,,,,,,,,,
1982,3rd,Zbigniew Boniek,Juventus,Polonia,,,Juventus,,,,,,,,,,,,,,,,
1983,1st,Michel Platini,Juventus,Francia,,,,,,,Juventus,,,,,,,,,,,,
1983,2nd,Kenny Dalglish,Liverpool,Scozia,,,,,,,,,,,,,,,Liverpool,,,,
1983,3rd,Allan Simonsen,Vejle Boldklub,Danimarca,,,,,,,,,,,,,,,,,,,
1984,1st,Michel Platini,Juventus,Francia,,,Juventus,,,,,Francia,,,,,,,,,,,
1984,2nd,Jean Tigana,Girondins de Bordeaux,Francia,,,,,,,,Francia,,,,,,,,,,,
1984,3rd,Preben Elkjær,Hellas Verona,Danimarca,,,,,,,,,,,,,,,,,,,
1985,1st,Michel Platini,Juventus,Francia,Juventus,,,,,,,,,,,,,,,,,,
1985,2nd,Preben Elkjær,Hellas Verona,Danimarca,,,,,,,,,,,,,,,,,,,
1985,3rd,Bernd Schuster,Barcellona,Germania,,Barcellona,,,,,,,,,,,,,,,,,
1986,1st,Igor Belanov,Dynamo Kyiv,Ucraina,,,,,,,,,,,,,,,,,,,
1986,2nd,Gary Lineker,Barcellona,Inghilterra,,,,,,,,,,,,,,,,,,,
1986,3rd,Emilio Butragueño,Real Madrid,Spagna,,Real Madrid,,,,,,,Real Madrid,,,,,,,,,,
1987,1st,Ruud Gullit,Milan,Olanda,,,,,,,,,,,,,,,,,,,
1987,2nd,Paulo Futre,Atlético Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
1987,3rd,Emilio Butragueño,Real Madrid,Spagna,,Real Madrid,,,,,,,,,,,,,,,,,
1988,1st,Marco van Basten,Milan,Olanda,,,Milan,,,,,,,,,,,,,,,,
1988,2nd,Ruud Gullit,Milan,Olanda,,,Milan,,,,,,,,,,,,,,,,
1988,3rd,Frank Rijkaard,Milan,Olanda,,,Milan,,,,,,,,,,,,,,,,
1989,1st,Marco van Basten,Milan,Olanda,Milan,,,,,,,,,,,,,,,,,,
1989,2nd,Franco Baresi,Milan,Italia,Milan,,,,,,,,,,,,,,,,,,
1989,3rd,Frank Rijkaard,Milan,Olanda,Milan,,,,,,,,,,,,,,,,,,
1990,1st,Lothar Matthäus,Internazionale,Germania,,,,,,,,,,,,,,,,,,,
1990,2nd,Salvatore Schillaci,Juventus,Italia,,,,,,,Juventus,,Juventus,,,,,,,,,,
1990,3rd,Andreas Brehme,Internazionale,Germania,,,,,,,,,,,,,,,,,,,
1991,1st,Jean-Pierre Papin,Olympique de Marseille,Francia,,,,,,,,,,,,,,,,,,,
1991,2nd,Dejan Savićević,Red Star Belgrade,Montenegro,,,,,,,,,,,,,,,,,,,
1991,3rd,Darko Pančev,Red Star Belgrade,Macedonia del Nord,,,,,,,,,,,,,,,,,,,
1992,1st,Marco van Basten,Milan,Olanda,,,Milan,,,,,,,,,,,,,,,,
1992,2nd,Hristo Stoichkov,Barcellona,Bulgaria,Barcellona,Barcellona,,,,,,,,,,,,,,,,,
1992,3rd,Dennis Bergkamp,Ajax,Olanda,,,,,,,,,Ajax,,,,,,,,,,
1993,1st,Roberto Baggio,Juventus,Italia,,,,,,,,,Juventus,,,,,,,,,,
1993,2nd,Dennis Bergkamp,Internazionale,Olanda,,,,,,,,,,,,,,,,,,,
1993,3rd,Eric Cantona,Manchester United,Francia,,,,,,,,,,,,,,,,,,,
1994,1st,Hristo Stoichkov,Barcellona,Bulgaria,,Barcellona,,,,,,,,,,,,,,,,,
1994,2nd,Roberto Baggio,Juventus,Italia,,,,,,,,,,,,,,,,,,,
1994,3rd,Paolo Maldini,Milan,Italia,Milan,,Milan,,,,,,,,,,,,,,,,
1995,1st,George Weah,Milan,Liberia,,,,,,,,,,,,,,,,,,,
1995,2nd,Jürgen Klinsmann,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
1995,3rd,Jari Litmanen,Ajax,Finlandia,Ajax,,,,,,,,,,,,,,,,,,
1996,1st,Matthias Sammer,Borussia Dortmund,Germania,,,,,,,,Germania,,Borussia Dortmund,,,,,,,,,
1996,2nd,Ronaldo,Barcellona,Portogallo,,,,,,,,,,,,,,,,,,,
1996,3rd,Alan Shearer,Newcastle United,Inghilterra,,,,,,,,,,,,,,,,,,,
1997,1st,Ronaldo,Internazionale,Portogallo,,,,,,,,,,,,,,,,,,,
1997,2nd,Predrag Mijatović,Real Madrid,Montenegro,,Real Madrid,,,,,,,,,,,,,,,,,
1997,3rd,Zinedine Zidane,Juventus,Francia,,,Juventus,,,,,,,,,,,,,,,,
1998,1st,Zinedine Zidane,Juventus,Francia,,,Juventus,,Francia,,,,,,,,,,,,,,
1998,2nd,Davor Šuker,Real Madrid,Croazia,Real Madrid,,,,,,,,,,,,,,,,,,
1998,3rd,Ronaldo,Internazionale,Portogallo,,,,,,,,,Internazionale,,,,,,,,,,
1999,1st,Rivaldo,Barcellona,Brasile,,Barcellona,,,,,,,,,Brasile,,,,,,,,
1999,2nd,David Beckham,Manchester United,Inghilterra,,,,,,,,,,,,,,,,,,,
1999,3rd,Andriy Shevchenko,Milan,Ucraina,,,Milan,,,,,,,,,,,,,,,,
2000,1st,Luís Figo,Real Madrid,Portogallo,Real Madrid,,,,,,,,,,,,,,,,,,
2000,2nd,Zinedine Zidane,Juventus,Francia,,,,,,,,Francia,,,,,,,,,,,
2000,3rd,Andriy Shevchenko,Milan,Ucraina,,,,,,,,,,,,,,,,,,,
2001,1st,Michael Owen,Liverpool,Inghilterra,,,,,,,,,Liverpool,,,Liverpool,,,,,,,
2001,2nd,Raúl,Real Madrid,Spagna,,Real Madrid,,,,,,,,,,,,,,,,,
2001,3rd,Oliver Kahn,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
2002,1st,Ronaldo,Real Madrid,Portogallo,Real Madrid,,,,,,,,,,,,,,,,,,
2002,2nd,Roberto Carlos,Real Madrid,Brasile,Real Madrid,,,,Brasile,,,,,,,,,,,,,,
2002,3rd,Oliver Kahn,Bayern Munich,Germania,,,,,,,,,,,,,,,,,,,
2003,1st,Pavel Nedvěd,Juventus,Repubblica Ceca,,,Juventus,,,,,,,,,,,,,,,,
2003,2nd,Thierry Henry,Arsenal,Francia,,,,,,,,,,,,Arsenal,,,,,,,
2003,3rd,Paolo Maldini,Milan,Italia,Milan,,,,,,Milan,,,,,,,,,,,,
2004,1st,Andriy Shevchenko,Milan,Ucraina,,,Milan,,,,,,,,,,,,,,,,
2004,2nd,Deco,Barcellona,Portogallo,,,,,,,,,,,,,,,,,,,
2004,3rd,Ronaldinho,Barcellona,Brasile,,,,,,,,,,,Brasile,,,,,,,,
2005,1st,Ronaldinho,Barcellona,Brasile,,Barcellona,,,,,,,,,,,,,,,,,
2005,2nd,Frank Lampard,Chelsea,Inghilterra,,,,,,,,,,,,,,,Chelsea,,,,
2005,3rd,Steven Gerrard,Liverpool,Inghilterra,Liverpool,,,,,,,,,,,,,,,,,,
2006,1st,Fabio Cannavaro,Real Madrid,Italia,,,,,Italia,,,,,,,,,,,,,,
2006,2nd,Gianluigi Buffon,Juventus,Italia,,,,,Italia,,,,,,,,,,,,,,
2006,3rd,Thierry Henry,Arsenal,Francia,,,,,,,,,,,,,,,,,,,
2007,1st,Kaká,Milan,Brasile,Milan,,,,,,,,,,Brasile,,,,,,,,
2007,2nd,Cristiano Ronaldo,Manchester United,Portogallo,,,,,,,,,,,,,,,,,,,
2007,3rd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2008,1st,Cristiano Ronaldo,Manchester United,Portogallo,,,,,,,,,,,,,,,,,,,
2008,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2008,3rd,Fernando Torres,Liverpool,Spagna,,,,,,,,Spagna,,,,,,,,,,,
2009,1st,Lionel Messi,Barcellona,Argentina,Barcellona,Barcellona,,,,,,,,,,,Barcellona,,,,,,
2009,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2009,3rd,Xavi,Barcellona,Spagna,Barcellona,Barcellona,,,,,,,,,,,Barcellona,,,,,,
2010,1st,Lionel Messi,Barcellona,Argentina,,Barcellona,,,,,,,,,,,,,,,,,
2010,2nd,Andrés Iniesta,Barcellona,Spagna,,Barcellona,,,Spagna,,,,,,,,,,,,,,
2010,3rd,Xavi,Barcellona,Spagna,,Barcellona,,,Spagna,,,,,,,,,,,,,,
2011,1st,Lionel Messi,Barcellona,Argentina,Barcellona,Barcellona,,,,,,,,,,,,,,,,,
2011,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,Real Madrid,,,,,,
2011,3rd,Xavi,Barcellona,Spagna,Barcellona,Barcellona,,,,,,,,,,,,,,,,,
2012,1st,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,Barcellona,,,,,,
2012,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,Real Madrid,,,,,,,,,,,,,,,,,
2012,3rd,Andrés Iniesta,Barcellona,Spagna,,,,,,,,Spagna,,,,,Barcellona,,,,,,
2013,1st,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2013,2nd,Lionel Messi,Barcellona,Argentina,,Barcellona,,,,,,,,,,,,,,,,,
2013,3rd,Franck Ribéry,Bayern Munich,Francia,,,,,,,,,,,,,,,,,,,
2014,1st,Cristiano Ronaldo,Real Madrid,Portogallo,Real Madrid,,,,,,,,,,,,Real Madrid,,,,,,
2014,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,,,,,,,
2014,3rd,Manuel Neuer,Bayern Munich,Germania,,,,,Germania,,,,,,,,,,,,,,
2015,1st,Lionel Messi,Barcellona,Argentina,Barcellona,Barcellona,,,,,,,,,,,Barcellona,,,,,,
2015,2nd,Cristiano Ronaldo,Real Madrid,Portogallo,,,,,,,,,,,,,,,,,,,
2015,3rd,Neymar,Barcellona,Brasile,Barcellona,Barcellona,,,,,,,,,,,Barcellona,,,,,,
2016,1st,Cristiano Ronaldo,Real Madrid,Portogallo,Real Madrid,,,,,,,Portogallo,,,,,,,,,,,
2016,2nd,Lionel Messi,Barcellona,Argentina,,Barcellona,,,,,,,,,,,Barcellona,,,,,,
2016,3rd,Antoine Griezmann,Atlético Madrid,Francia,,,,,,,,,,,,,,,,,,,
2017,1st,Cristiano Ronaldo,Real Madrid,Portogallo,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
2017,2nd,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,,,Barcellona,,,,,,
2017,3rd,Neymar,Paris Saint-Germain,Brasile,,,,,,,,,,,,,,,,,,,Paris Saint-Germain
2018,1st,Luka Modrić,Real Madrid,Croazia,Real Madrid,,,,,,,,,,,,,,,,,,
2018,2nd,Cristiano Ronaldo,Juventus,Portogallo,,,Juventus,,,,Juventus,,,,,,,,,,,,
2018,3rd,Antoine Griezmann,Atlético Madrid,Francia,,,,,Francia,,,,Atlético Madrid,,,,,,,,,,
2019,1st,Lionel Messi,Barcellona,Argentina,,Barcellona,,,,,,,,,,,,,,,,,
2019,2nd,Virgil van Dijk,Liverpool,Olanda,Liverpool,,,,,,,,,,,,,,,,,,
2019,3rd,Cristiano Ronaldo,Juventus,Portogallo,,,Juventus,,,,,,,,,,,,,,,,
2021,1st,Lionel Messi,Barcellona,Argentina,,,,,,,,,,,Argentina,,Barcellona,,,,,,
2021,2nd,Robert Lewandowski,Bayern Munich,Polonia,,,,,,,,,,,,,,,,,,,
2021,3rd,Jorginho,Chelsea,Italia,Chelsea,,,,,,,,,,,,,,,,,,
2022,1st,Karim Benzema,Real Madrid,Francia,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
2022,2nd,Sadio Mané,Liverpool,Senegal,,,,,,,,,,,,Liverpool,,,,,,,
2022,3rd,Kevin De Bruyne,Manchester City,Belgio,,,,,,,,,,,,,,,Manchester City,,,,
2023,1st,Lionel Messi,Paris Saint-Germain,Argentina,,,,,,,,,,,,,,Paris Saint-Germain,,,,,
2023,2nd,Erling Haaland,Manchester City,Norvegia,Manchester City,,,,,,,,,,,Manchester City,,,Manchester City,,,,
2023,3rd,Kylian Mbappé,Paris Saint-Germain,Francia,,,,,,,,,,,,,,Paris Saint-Germain,,,,,
2024,1st,Rodri,Manchester City,Spagna,,,,,,,,Spagna,,,,,,,Manchester City,,,,
2024,2nd,Vinícius Júnior,Real Madrid,Brasile,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
2024,3rd,Jude Bellingham,Real Madrid,Inghilterra,Real Madrid,Real Madrid,,,,,,,,,,,,,,,,,
